"","species","decimallongitude","decimallatitude"
"287","Sphyrna lewini",-71.883,39.7067
"288","Sphyrna lewini",-78.6913,33.4647
"289","Sphyrna lewini",112.75,-32.25
"290","Sphyrna lewini",114.25,-30.25
"291","Sphyrna lewini",114.3,-21.975
"292","Sphyrna lewini",112.75,-31.25
"293","Sphyrna lewini",113.625,-22.275
"294","Sphyrna lewini",146.0912,-17.9953
"295","Sphyrna lewini",146.1158,-17.9624
"296","Sphyrna lewini",149.82129,-2.1376
"297","Sphyrna lewini",153.46667,-29.21667
"298","Sphyrna lewini",-72.6653,40.4403
"299","Sphyrna lewini",113.725,-22.175
"300","Sphyrna lewini",157.75,-29.75
"301","Sphyrna lewini",145.91977,-8.09755
"302","Sphyrna lewini",146.0948,-17.9943
"303","Sphyrna lewini",114.75,-31.75
"304","Sphyrna lewini",113.25,-21.75
"305","Sphyrna lewini",147.20079,-1.68001
"306","Sphyrna lewini",146.8203,-19.2024
"307","Sphyrna lewini",-74.7916679382,35.6916656494
"308","Sphyrna lewini",-73.3009,39.98
"309","Sphyrna lewini",116.75,-35.25
"310","Sphyrna lewini",-79.9550018311,32.5979995728
"311","Sphyrna lewini",146.7946,-19.197
"312","Sphyrna lewini",-74.7666664124,35.9250011444
"313","Sphyrna lewini",146.1288,-17.8592
"314","Sphyrna lewini",145.39745,-2.07155
"315","Sphyrna lewini",-89.2000007629,28.4916667938
"316","Sphyrna lewini",113.75,-28.75
"317","Sphyrna lewini",-78.4416656494,32.4249992371
"318","Sphyrna lewini",156.25,-23.75
"319","Sphyrna lewini",113.625,-22.675
"320","Sphyrna lewini",-75.9319,34.9926
"321","Sphyrna lewini",157.75,-26.75
"322","Sphyrna lewini",145.70067,-8.02
"323","Sphyrna lewini",146.1347,-17.8797
"324","Sphyrna lewini",-76.2750015259,33.7333335876
"325","Sphyrna lewini",148.75,-14.75
"326","Sphyrna lewini",146.1308,-17.9725
"327","Sphyrna lewini",-72.3767,40.8123
"328","Sphyrna lewini",146.2,-8.33042
"329","Sphyrna lewini",113.85,-22.1
"330","Sphyrna lewini",155.25,-25.75
"331","Sphyrna lewini",147.25,-17.25
"332","Sphyrna lewini",144.75,-12.75
"333","Sphyrna lewini",72.9921,4.25826
"334","Sphyrna lewini",146.1027,-18.0313
"335","Sphyrna lewini",160.25,-27.75
"336","Sphyrna lewini",146.20033,-8.31887
"337","Sphyrna lewini",155.75,-28.75
"338","Sphyrna lewini",155.38385,-11.03702
"339","Sphyrna lewini",157.75,-27.25
"340","Sphyrna lewini",146.02898,-1.33337
"341","Sphyrna lewini",153.7547,-11.87593
"342","Sphyrna lewini",153.75,-33.25
"343","Sphyrna lewini",116.25,-35.75
"344","Sphyrna lewini",146.1081,-18.0025
"345","Sphyrna lewini",-89.0166664124,28.5249996185
"346","Sphyrna lewini",158.25,-31.25
"347","Sphyrna lewini",-78.8916664124,31.5
"348","Sphyrna lewini",113.25,-22.25
"349","Sphyrna lewini",146.1455,-17.9649
"350","Sphyrna lewini",-71.8382,40.2379
"351","Sphyrna lewini",154.25,-28.25
"352","Sphyrna lewini",-79.9666671753,27.7250003815
"353","Sphyrna lewini",-71.9744,40.2837
"354","Sphyrna lewini",155.25,-26.25
"355","Sphyrna lewini",148.21865,-1.59639
"356","Sphyrna lewini",146.1017,-17.9465
"357","Sphyrna lewini",147.75,-38.25
"358","Sphyrna lewini",154.25,-29.75
"359","Sphyrna lewini",148.71042,-20.5336
"360","Sphyrna lewini",114.05,-21.825
"361","Sphyrna lewini",-72.3068,39.2366
"362","Sphyrna lewini",111.75,-26.25
"363","Sphyrna lewini",112.25,-32.25
"364","Sphyrna lewini",112.75,-29.25
"365","Sphyrna lewini",146.132,-17.8425
"366","Sphyrna lewini",158.25,-29.75
"367","Sphyrna lewini",113.25,-21.25
"368","Sphyrna lewini",151.25,-37.75
"369","Sphyrna lewini",146.2078,-17.9707
"370","Sphyrna lewini",-77.81,33.4982
"371","Sphyrna lewini",113.25,-29.25
"372","Sphyrna lewini",-76.4113,34.3614
"373","Sphyrna lewini",146.2182,-17.7754
"374","Sphyrna lewini",-71.8657,40.6467
"375","Sphyrna lewini",155.25,-27.25
"376","Sphyrna lewini",146.375,-17.925
"377","Sphyrna lewini",-81.2630004883,31.186000824
"378","Sphyrna lewini",113.875,-22.025
"379","Sphyrna lewini",118.75,-35.25
"380","Sphyrna lewini",146.1339,-17.9593
"381","Sphyrna lewini",-71.883,39.7066
"382","Sphyrna lewini",-74.7250022888,35.6166667938
"383","Sphyrna lewini",146.1503,-17.9963
"384","Sphyrna lewini",146.7948,-19.2218
"385","Sphyrna lewini",147.34292,-1.74049
"386","Sphyrna lewini",145.75,-11.75
"387","Sphyrna lewini",113.25,-32.25
"388","Sphyrna lewini",-71.8173,40.1707
"389","Sphyrna lewini",110.25,-25.25
"390","Sphyrna lewini",113.9,-21.925
"391","Sphyrna lewini",151.08429,-2.1622
"392","Sphyrna lewini",113.75,-30.75
"393","Sphyrna lewini",-70.7338,39.948
"394","Sphyrna lewini",153.09,-30.826
"395","Sphyrna lewini",113.75,-21.75
"396","Sphyrna lewini",158.25,-27.75
"397","Sphyrna lewini",146.7957,-19.161
"398","Sphyrna lewini",145.74924,-16.50415
"399","Sphyrna lewini",-78.2999992371,31.8999996185
"400","Sphyrna lewini",146.93995,-18.90516
"401","Sphyrna lewini",145.99637,-2.01688
"402","Sphyrna lewini",146.1204,-17.9462
"403","Sphyrna lewini",-78.8500022888,32.1333332062
"404","Sphyrna lewini",145.83667,-8.09167
"405","Sphyrna lewini",-78.625,31.6166667938
"406","Sphyrna lewini",-71.934,40.1727
"407","Sphyrna lewini",146.1385,-17.9696
"408","Sphyrna lewini",-78.4249992371,32.5416660309
"409","Sphyrna lewini",113.65,-22.175
"410","Sphyrna lewini",-89.0916671753,28.6166667938
"411","Sphyrna lewini",153.43333,-29.435
"412","Sphyrna lewini",114.375,-22.15
"413","Sphyrna lewini",153.75,-26.75
"414","Sphyrna lewini",-79.3499984741,31.1749992371
"415","Sphyrna lewini",153.75,-30.25
"416","Sphyrna lewini",112.75,-22.75
"417","Sphyrna lewini",112.25,-23.25
"418","Sphyrna lewini",117.75,-35.75
"419","Sphyrna lewini",129.75,-33.25
"420","Sphyrna lewini",151.81502,-3.48696
"421","Sphyrna lewini",114.75,-31.25
"422","Sphyrna lewini",146.0942,-18.0338
"423","Sphyrna lewini",153.75,-31.75
"424","Sphyrna lewini",-70.7338,39.9479
"425","Sphyrna lewini",146.118,-18.0169
